dataset,method,graph,target,regime,n,n_errors,auroc_base,auroc_overlap_only,auroc_full,delta_auroc,delta_auroc_ci_low,delta_auroc_ci_high,auprc_base,auprc_full,delta_auprc,delta_auprc_ci_low,delta_auprc_ci_high
stanfordnlp_sst2,graphsvx,syntactic,gnn_agrees_teacher,all (base = confidence+explanation),872,24,0.9035475628930817,0.4665389150943396,0.8819280660377358,-0.021233376597329445,-0.061966562791988096,0.003969312936502916,0.30352642813968633,0.28597021376105125,-0.007991939752396511,-0.07748780658231143,0.0680362635103262
stanfordnlp_sst2,graphsvx,window,bert_correct,all,872,73,0.8348963601762478,0.4832838993947914,0.8142198295814974,-0.020360631975919093,-0.03861563152034537,-0.005112663346637612,0.3077422178420738,0.2838528898551596,-0.02607887726932474,-0.07872598799191156,0.01735747846123585
stanfordnlp_sst2,graphsvx,window,bert_correct,confidence>0.9,744,32,0.7701018258426966,0.48084181882022475,0.7206372893258427,-0.04900124670071809,-0.09022324377619555,-0.010782563025210048,0.11214413353020516,0.10509227748120867,-0.005121210911629302,-0.02204549786180569,0.018842794505238677
stanfordnlp_sst2,graphsvx,window,gnn_correct_gold,all,872,76,0.8207319492197832,0.4637992594551706,0.7936888389314997,-0.026350308844473966,-0.054349549918662414,-0.0026318915673671783,0.2722798264199052,0.24969445314717964,-0.023975555271832413,-0.06359795645738182,0.001088816490508194
stanfordnlp_sst2,graphsvx,window,gnn_correct_gold,confidence>0.9,763,43,0.800484496124031,0.49295865633074937,0.7482881136950905,-0.05262260292713719,-0.1079511746559089,-0.006740659421549109,0.2575004655149587,0.2282040368920083,-0.02995449162005209,-0.07509097042595599,0.008441746498422538
stanfordnlp_sst2,graphsvx,window,gnn_correct_gold,all (base = confidence+explanation),872,76,0.8114751388521555,0.4637992594551706,0.7869941814334832,-0.02407553232564833,-0.04690005701974241,-0.003721600361740882,0.27119058243594246,0.2617911278853424,-0.00761360968723466,-0.022633525165678313,0.010013827232572109
stanfordnlp_sst2,graphsvx,window,gnn_agrees_teacher,all,872,16,0.9107038551401869,0.5027745327102804,0.9237003504672898,0.012844785264261284,-0.020234466809292802,0.06012996366775925,0.20625478622922302,0.20477786604590334,0.0015458089589797822,-0.13119641607279983,0.1218923895437029
stanfordnlp_sst2,graphsvx,window,gnn_agrees_teacher,all (base = confidence+explanation),872,16,0.8785046728971964,0.5027745327102804,0.8714953271028038,-0.007404705103484358,-0.030382256622196527,0.014540232422299522,0.3049598061964642,0.26906089638636105,-0.03788955373611112,-0.18034817173209508,0.10547240395343192
stanfordnlp_sst2,graphsvx,skipgrams,bert_correct,all,872,73,0.8348963601762478,0.5049291065887154,0.8183002726010251,-0.016094052571913042,-0.03497484636171853,-0.0011894411599252884,0.3077422178420738,0.29334078906449534,-0.014059199308481485,-0.07477961920404927,0.04107410513889583
stanfordnlp_sst2,graphsvx,skipgrams,bert_correct,confidence>0.9,744,32,0.7701018258426966,0.4861964536516854,0.7275280898876404,-0.04302361608987734,-0.08842248165547978,-0.007542492936659935,0.11214413353020516,0.10490211158381776,-0.004255813639862465,-0.025776435154668827,0.03335751868555308
stanfordnlp_sst2,graphsvx,skipgrams,gnn_correct_gold,all,872,78,0.840486339856617,0.4972873474132921,0.8203997933217076,-0.019335116454605773,-0.05109957528579352,0.008719140332981502,0.2975309604564321,0.28735587395875356,-0.010718304862074405,-0.04436125980839021,0.02091499646629679
stanfordnlp_sst2,graphsvx,skipgrams,gnn_correct_gold,confidence>0.9,764,40,0.8094958563535911,0.5537638121546963,0.7654350828729282,-0.042930140525647704,-0.11200543352436747,0.011824683588116216,0.20596132334162592,0.19993488004321808,-0.010809643401761224,-0.040439644724569186,0.023833329329191362
stanfordnlp_sst2,graphsvx,skipgrams,gnn_correct_gold,all (base = confidence+explanation),872,78,0.8183653038816766,0.4972873474132921,0.7959859200413356,-0.022214487314272603,-0.04337837406420108,-0.003893532488134707,0.28662480387901473,0.2696723994156485,-0.016479344622744665,-0.0380590813530627,0.0028581607625587846
stanfordnlp_sst2,graphsvx,skipgrams,gnn_agrees_teacher,all,872,16,0.9055928738317758,0.36061623831775697,0.9043516355140188,-0.0009636755881781974,-0.036773331792824125,0.04364641144541955,0.23181780662664242,0.16959423319742167,-0.061623294379402484,-0.196244419744412,0.04877885158923069
stanfordnlp_sst2,graphsvx,skipgrams,gnn_agrees_teacher,all (base = confidence+explanation),872,16,0.9483060747663552,0.36061623831775697,0.9260367990654206,-0.022006462482190996,-0.05953356752537081,0.0021504993967032694,0.2223121605994618,0.23403183800536753,-0.002365111903133745,-0.09017979894446147,0.09403381110535788
stanfordnlp_sst2,subgraphx,constituency,bert_correct,all,872,73,0.8348963601762478,0.5857235928472234,0.8187117458466918,-0.01668934288986306,-0.03714053352314798,0.0007125630079970543,0.3077422178420738,0.2934137157352517,-0.015325984596115252,-0.07533819864047422,0.047813163438335034
